rendszam	tipus	fajta
BPI006	Ikarus 412	autóbusz
BPI007	Ikarus 412	autóbusz
BPI013	Ikarus 412	autóbusz
BPI016	Ikarus 412	autóbusz
BPI017	Ikarus 412	autóbusz
BPI020	Ikarus 412	autóbusz
BPI021	Ikarus 412	autóbusz
BPI024	Ikarus 412	autóbusz
BPI026	Ikarus 412	autóbusz
BPI027	Ikarus 412	autóbusz
BPI035	Ikarus 412	autóbusz
BPI037	Ikarus 412	autóbusz
BPI042	Ikarus 412	autóbusz
BPI043	Ikarus 412	autóbusz
BPI044	Ikarus 412	autóbusz
BPI048	Ikarus 412	autóbusz
BPI050	Ikarus 412	autóbusz
BPI052	Ikarus 412	autóbusz
BPI053	Ikarus 412	autóbusz
BPI055	Ikarus 412	autóbusz
BPI057	Ikarus 412	autóbusz
BPI060	Ikarus 412	autóbusz
BPI066	Ikarus 412	autóbusz
BPI069	Ikarus 412	autóbusz
BPI116	Ikarus 435	autóbusz
BPI117	Ikarus 435	autóbusz
BPI123	Ikarus 435	autóbusz
BPI128	Ikarus 435	autóbusz
BPI130	Ikarus 435	autóbusz
BPI131	Ikarus 435	autóbusz
BPI135	Ikarus 435	autóbusz
BPI137	Ikarus 435	autóbusz
BPI145	Ikarus 435	autóbusz
BPI147	Ikarus 435	autóbusz
BPI148	Ikarus 435	autóbusz
BPI152	Ikarus 435	autóbusz
BPI154	Ikarus 435	autóbusz
BPI155	Ikarus 435	autóbusz
BPI156	Ikarus 435	autóbusz
BPI172	Ikarus 435	autóbusz
BPI173	Ikarus 435	autóbusz
BPI175	Ikarus 435	autóbusz
BPI177	Ikarus 435	autóbusz
BPI179	Ikarus 280	autóbusz
BPI181	Ikarus 280	autóbusz
BPI182	Ikarus 280	autóbusz
BPI183	Ikarus 280	autóbusz
BPI185	Ikarus 280	autóbusz
BPI187	Ikarus 280	autóbusz
BPI188	Ikarus 280	autóbusz
BPI189	Ikarus 280	autóbusz
BPI190	Ikarus 280	autóbusz
BPI193	Ikarus 280	autóbusz
BPI206	Ikarus 260	autóbusz
BPI209	Ikarus 260	autóbusz
BPI211	Ikarus 260	autóbusz
BPI213	Ikarus 260	autóbusz
BPI265	Ikarus 260	autóbusz
BPI281	Ikarus 260	autóbusz
BPI284	Ikarus 260	autóbusz
BPI333	Ikarus 415	autóbusz
BPI387	Ikarus 405	autóbusz
BPI391	Ikarus 405	autóbusz
BPI395	Ikarus 405	autóbusz
BPI397	Ikarus 405	autóbusz
BPI529	Ikarus 260	autóbusz
BPI534	Ikarus 260	autóbusz
BPI622	Ikarus 260	autóbusz
BPI625	Ikarus 260	autóbusz
BPI663	Ikarus 260	autóbusz
BPI723	Ikarus 280	autóbusz
BPI770	Ikarus 280	autóbusz
BPI771	Ikarus 280	autóbusz
BPI775	Ikarus 280	autóbusz
BPI779	Ikarus 280	autóbusz
BPI792	Ikarus 280	autóbusz
BPI793	Ikarus 280	autóbusz
BPI805	Ikarus 280	autóbusz
BPI810	Ikarus 280	autóbusz
BPI829	Ikarus 280	autóbusz
BPI830	Ikarus 280	autóbusz
BPI833	Ikarus 280	autóbusz
BPI835	Ikarus 280	autóbusz
BPI904	Ikarus 435	autóbusz
BPI916	Ikarus 435	autóbusz
BPI919	Ikarus 435	autóbusz
BPI923	Ikarus 435	autóbusz
BPI928	Ikarus 435	autóbusz
BPI931	Ikarus 435	autóbusz
BPI940	Ikarus 435	autóbusz
BPI945	Ikarus 435	autóbusz
BPI947	Ikarus 435	autóbusz
BPI960	Ikarus 435	autóbusz
BPI971	Ikarus 280	autóbusz
BPI972	Ikarus 280	autóbusz
BPI973	Ikarus 280	autóbusz
BPI974	Ikarus 280	autóbusz
BPI975	Ikarus 280	autóbusz
BPI977	Ikarus 280	autóbusz
BPI979	Ikarus 280	autóbusz
BPI980	Ikarus 280	autóbusz
BPI986	Ikarus 280	autóbusz
BPI990	Ikarus 280	autóbusz
BPO001	Ikarus 280	autóbusz
BPO003	Ikarus 280	autóbusz
BPO008	Ikarus 280	autóbusz
BPO009	Ikarus 280	autóbusz
BPO026	Ikarus 280	autóbusz
BPO029	Ikarus 280	autóbusz
BPO051	Ikarus 260	autóbusz
BPO100	Ikarus 260	autóbusz
BPO102	Ikarus 260	autóbusz
BPO106	Ikarus 260	autóbusz
BPO124	Ikarus 260	autóbusz
BPO140	Ikarus 260	autóbusz
BPO147	Ikarus 260	autóbusz
BPO150	Ikarus 260	autóbusz
BPO165	Ikarus 260	autóbusz
BPO180	Ikarus 260	autóbusz
BPO187	Ikarus 260	autóbusz
BPO192	Ikarus 260	autóbusz
BPO199	Ikarus 405	autóbusz
BPO202	Ikarus 405	autóbusz
BPO216	Ikarus 412	autóbusz
BPO218	Ikarus 412	autóbusz
BPO220	Ikarus 412	autóbusz
BPO221	Ikarus 412	autóbusz
BPO225	Ikarus 412	autóbusz
BPO230	Ikarus 412	autóbusz
BPO231	Ikarus 412	autóbusz
BPO232	Ikarus 412	autóbusz
BPO234	Ikarus 412	autóbusz
BPO236	Ikarus 412	autóbusz
BPO241	Ikarus 412	autóbusz
BPO248	Ikarus 412	autóbusz
BPO250	Ikarus 412	autóbusz
BPO254	Ikarus 412	autóbusz
BPO255	Ikarus 412	autóbusz
BPO303	Ikarus 260	autóbusz
BPO307	Ikarus 260	autóbusz
BPO323	Ikarus 260	autóbusz
BPO332	Ikarus 260	autóbusz
BPO341	Ikarus 260	autóbusz
BPO354	Ikarus 260	autóbusz
BPO358	Ikarus 260	autóbusz
BPO370	Ikarus 260	autóbusz
BPO422	Ikarus 280	autóbusz
BPO423	Ikarus 280	autóbusz
BPO424	Ikarus 280	autóbusz
BPO425	Ikarus 280	autóbusz
BPO428	Ikarus 280	autóbusz
BPO430	Ikarus 280	autóbusz
BPO432	Ikarus 280	autóbusz
BPO434	Ikarus 280	autóbusz
BPO435	Ikarus 280	autóbusz
BPO436	Ikarus 280	autóbusz
BPO438	Ikarus 280	autóbusz
